Signatur,Sortierung,Spider,Test,Parameter,Bedeutung,Format,URL (manuell),Bezeichnung der URL (nur intern),Stufe 2 de,Stufe 2 fr,Stufe 2 it,Stufe 3 de,Stufe 3 fr,Stufe 3 it,Matching,GN-Match,Bemerkung DE,Bemerkung FR,Bemerkung IT,interne Bemerkung,Gesetzliche Grundlage,Aktivität
NE_TR_011,44,,,,,,"http://jurisprudence.ne.ch/scripts/omnisapi.dll?OmnisPlatform=WINDOWS&WebServerUrl=jurisprudence.ne.ch&WebServerScript=/scripts/omnisapi.dll&OmnisLibrary=JURISWEB&OmnisClass=rtFindinfoWebHtmlService&OmnisServer=JURISWEB,localhost:7000&Aufruf=loadTemplate&cTemplate=search.html&Schema=NE_WEB&cSprache=FRE&Parametername=NEWEB&nAnzahlTrefferProSeite=5&nSeite=1&bSelectAll=1&bInstanzInt=all",Jurisprudence du tribunal cantonal,,Tribunaux régional,,,Autres,,,,,,,,NE 161.1,
NE_TR_012,45,,,,,,"http://jurisprudence.ne.ch/scripts/omnisapi.dll?OmnisPlatform=WINDOWS&WebServerUrl=jurisprudence.ne.ch&WebServerScript=/scripts/omnisapi.dll&OmnisLibrary=JURISWEB&OmnisClass=rtFindinfoWebHtmlService&OmnisServer=JURISWEB,localhost:7000&Aufruf=loadTemplate&cTemplate=search.html&Schema=NE_WEB&cSprache=FRE&Parametername=NEWEB&nAnzahlTrefferProSeite=5&nSeite=1&bSelectAll=1&bInstanzInt=all",Jurisprudence du tribunal cantonal,,Tribunaux régional,,,Autorité de protection de l'enfant et de l'adulte,,,,,,,,NE 161.1,
NE_TR_013,46,,,,,,"http://jurisprudence.ne.ch/scripts/omnisapi.dll?OmnisPlatform=WINDOWS&WebServerUrl=jurisprudence.ne.ch&WebServerScript=/scripts/omnisapi.dll&OmnisLibrary=JURISWEB&OmnisClass=rtFindinfoWebHtmlService&OmnisServer=JURISWEB,localhost:7000&Aufruf=loadTemplate&cTemplate=search.html&Schema=NE_WEB&cSprache=FRE&Parametername=NEWEB&nAnzahlTrefferProSeite=5&nSeite=1&bSelectAll=1&bInstanzInt=all",Jurisprudence du tribunal cantonal,,Tribunaux régional,,,Tribunal pénal des mineurs,,,,,,,,NE 161.1,
NE_TR_014,47,,,,,,"http://jurisprudence.ne.ch/scripts/omnisapi.dll?OmnisPlatform=WINDOWS&WebServerUrl=jurisprudence.ne.ch&WebServerScript=/scripts/omnisapi.dll&OmnisLibrary=JURISWEB&OmnisClass=rtFindinfoWebHtmlService&OmnisServer=JURISWEB,localhost:7000&Aufruf=loadTemplate&cTemplate=search.html&Schema=NE_WEB&cSprache=FRE&Parametername=NEWEB&nAnzahlTrefferProSeite=5&nSeite=1&bSelectAll=1&bInstanzInt=all",Jurisprudence du tribunal cantonal,,Tribunaux régional,,,Tribunal de police,,,,,,,,NE 161.1,
NE_MP_001,48,,,,,,,,,Ministère public,,,,,,,,,,,NE 161.1,
NE_CM_001,49,,,,,,,,,Conseil de la magistrature,,,,,,,,,,,NE 162.7,
NE_GO_001,50,,,,,,,,,Conseil d'Etat,,,,,,,,,,,NE 152.130,
NE_AA_001,51,,,,,,,,,Autorités administratives,,,,,,,,,,,NE 152.130,
NE_CE_001,52,,,,,,,,,Commission d'estimation,,,,,,,,,,,NE 710,
NE_UPL_001,98,XX_Upload,,,,,,Upload,Upload,,,,,,,,,,,,,
NE_XX_001,99,,,,,,,,,Autres,,,,,,,,,,,,
NW_SBZS_001,1,,,,,,,,Schlichtungsbehörde in Zivilsachen,,,,,,,,,,,,NW 261.1,
NW_KG_001,2,,,,,,,,Kantonsgericht,,,Zwangmassnahmengericht,,,,,,,,,NW 261.1,
NW_KG_002,3,,,,,,,,Kantonsgericht,,,Zivilsachen,,,,,,,,,NW 261.1,
NW_KG_003,4,,,,,,,,Kantonsgericht,,,Strafsachen,,,,,,,,,NW 261.1,
NW_KG_004,5,,,,,,,,Kantonsgericht,,,Jugendstrafrecht,,,,,,,,,NW 261.1,
NW_KG_005,6,,,,,,,,Kantonsgericht,,,Sonstiges,,,,,,,,,,
NW_OG_001,7,NW_Gerichte,,,,,https://www.nw.ch/rechtsprechung,Rechtsprechung,Gerichte,,,,,,,,,,,,NW 261.1,
NW_VG_001,8,,,,,,https://www.nw.ch/rechtsprechung,Rechtsprechung,Verwaltungsgericht,,,,,,,,,,,,NW 261.1,
NW_SA_001,9,,,,,,,,Staatsanwaltschaft,,,,,,,,,,,,NW 261.1,
NW_AK_001,10,,,,,,,,Anwaltskommission,,,,,,,,,,,,NW 267.1,
